id_annonce,property_type,approximate_latitude,approximate_longitude,city,postal_code,size,floor,land_size,energy_performance_value,energy_performance_category,ghg_value,ghg_category,exposition,nb_rooms,nb_bedrooms,nb_bathrooms,nb_parking_places,nb_boxes,nb_photos,has_a_balcony,nb_terraces,has_a_cellar,has_a_garage,has_air_conditioning,last_floor,upper_floors,price
6774630,appartement,43.8359874,5.786698078,manosque,4100,73,1,,164,D,49,E,,4,3,1,0,0,8,0,0,1,1,0,0,0,133125
9229368,appartement,43.95576059,4.811265282,avignon,84000,63,,,213,D,9,B,,3,2,1,0,0,5,0,0,0,1,0,0,0,40000
10767060,maison,47.76005358,-3.347770783,lanester,56600,120,,276,323,E,18,C,,6,4,1,0,0,17,0,0,0,1,0,0,0,402800
10888487,appartement,43.29675174,6.630493005,sainte-maxime,83120,94,,,152,D,7,B,,4,3,1,1,0,15,0,0,1,0,0,0,0,200000
10914429,maison,43.93406882,0.620489473,lectoure,32700,390,,180,,,,,,16,10,1,0,1,6,1,0,1,0,0,0,0,364000
11308684,maison,44.45356936,4.347928544,ruoms,7120,114,,5721,,,,,,4,2,1,0,0,13,0,0,0,0,0,0,0,266000
11549723,appartement,49.34841469,2.608481901,saint-martin-longueau,60700,403,,,315,E,17,C,,2,1,1,0,0,6,0,0,0,0,0,0,0,99900
11958629,terrain,48.70223,2.272129553,champlan,91160,370,,370,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,319000
11965095,appartement,43.74253742,-1.317551846,soustons,40140,57,,,229,D,12,C,,3,2,1,0,0,8,0,1,0,0,0,0,0,275600
12090080,maison,48.39725994,2.703182358,fontainebleau,77300,117,,,,,,,,4,3,1,1,0,9,0,1,0,0,0,0,0,495000
12123019,appartement,45.78642077,3.084428414,clermont-ferrand,63000,41,3,,58,B,13,C,,2,1,1,0,0,2,0,1,0,0,0,0,0,123625
12230262,appartement,43.55609059,7.125370833,cap-d'antibes,6160,95,2,,,,,,,4,3,,1,0,10,0,1,0,1,0,0,0,795000
12243776,maison,44.73099926,1.206480122,daglan,24250,175,,836,,,,,,7,4,,0,0,10,0,0,0,0,0,0,0,267500
12763085,appartement,47.70078586,6.645185137,ronchamp,70250,124,,,,,,,,5,3,1,1,0,5,0,0,0,0,0,0,0,39000
13236641,villa,43.22951748,6.593054737,gassin,83580,84,,250,213,D,10,B,,5,3,,1,0,17,0,0,0,0,0,0,0,980000
13385951,maison,48.74805478,6.28873172,laitre-sous-amance,54770,127,,844,297,E,67,F,,5,3,1,1,0,21,1,0,1,0,0,0,0,195000
